HOUSE_ID,PV_TOTAL_SIZE,BATTERY_SIZE,RSOC,PV_PRODUCTION,CONSUMPTION,EXCHANGE_CHARGE,EXCHANGE_DISCHARGE,SURPLUS,SHORTAGE,SELF_SUFFICIENT,ESS_LOSS,DCDC_LOSS
Community,66756.0,190000.0,60.94,1.048572E8,9.299162809E7,0.0,0.0,1.87481458E7,2.898844126E7,70.09,2.141926104E7,0.0
1,2796.0,10000.0,88.64,5518800.0,2281218.031,0.0,0.0,2351073.986,194570.806,91.82,1072443.546,0.0
2,2796.0,10000.0,47.93,5518800.0,6650023.241,0.0,0.0,366749.475,2694264.704,61.11,1137755.057,0.0
3,4194.0,10000.0,63.45,5518800.0,4561511.488,0.0,0.0,1350736.99,1520648.608,68.04,1088006.889,0.0
4,2880.0,10000.0,33.7,5518800.0,7272158.211,0.0,0.0,2920.98,2973455.556,60.75,1154472.2,0.0
5,2880.0,10000.0,81.98,5518800.0,3619344.184,0.0,0.0,788357.603,102095.718,97.3,1203177.946,0.0
6,2880.0,10000.0,55.08,5518800.0,6030730.354,0.0,0.0,516416.381,2224790.163,64.57,1153753.145,0.0
7,2796.0,10000.0,96.77,5518800.0,1713652.277,0.0,0.0,2888889.686,123884.18,93.07,1030205.827,0.0
8,4194.0,10000.0,37.32,5518800.0,6025704.197,0.0,0.0,3448.284,1740661.791,72.3,1190755.146,0.0
9,2796.0,10000.0,68.95,5518800.0,4316002.511,0.0,0.0,435104.067,460580.341,89.78,1210212.063,0.0
10,2880.0,10000.0,68.75,5518800.0,4112173.98,0.0,0.0,943105.503,709642.489,83.49,1146788.219,0.0
11,4320.0,10000.0,99.66,5518800.0,1198634.083,0.0,0.0,3311611.141,47.686,100.0,1001274.029,0.0
12,2880.0,10000.0,37.01,5518800.0,7779743.054,0.0,0.0,30288.476,3499142.154,56.82,1139072.469,0.0
13,4194.0,10000.0,38.15,5518800.0,7305335.286,0.0,0.0,26343.234,3029770.473,60.19,1149974.934,0.0
14,4320.0,10000.0,67.61,5518800.0,4198030.9,0.0,0.0,810841.946,684514.229,84.37,1170317.183,0.0
15,4320.0,10000.0,54.86,5518800.0,4654680.45,0.0,0.0,346137.072,714170.598,85.3,1206351.447,0.0
16,4320.0,10000.0,37.68,5518800.0,7481112.133,0.0,0.0,63551.199,3228764.486,58.57,1138577.912,0.0
17,4194.0,10000.0,38.0,5518800.0,6616266.404,0.0,0.0,44488.857,2361687.957,65.75,1169353.626,0.0
18,4320.0,10000.0,42.45,5518800.0,6883672.019,0.0,0.0,167878.008,2725736.112,62.01,1137123.367,0.0
19,2796.0,10000.0,99.94,5518800.0,291635.288,0.0,0.0,4300202.912,13.207,100.0,919646.04,0.0
